Class Name;ATFD;CCC;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CLOC;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
com.example.Application;0;0;0;0;1;3,0;90,0;0,0067;10;8;30,0;1;3;79,2493;1;1;0;1;0;15;0;1;15;0;0;2;0,0;1,0;1
com.example.base.ui.MainErrorHandler;2;0;0;1;1;15,0;2875,3046;0,0674;38;33;191,687;1;15;58,373;14;8;0;1;1;15;0;1;14;0;0;16;0,0;1,0;1
com.example.base.ui.MainLayout;11;2;3;0;3;18,3158;7255,2016;0,1249;73;43;396,1173;2;27;50,3707;19;18;0;3;11;100;N/A;4;97;0;0;21;0,0;1,0;5
com.example.base.ui.component.ViewToolbar;12;1;3;0;3;12,1136;4411,5331;0,0897;71;35;364,1791;1;23;52,2147;10;16;0;1;9;79;N/A;2;78;0;0;8;0,0;1,0;3
com.example.examplefeature.EmailService;1;0;1;0;1;4,0;453,1993;0,0197;29;15;113,2998;1;10;63,8104;7;7;0;1;0;14;0;1;14;0;0;2;0,0;1,0;1
com.example.examplefeature.Task;1;5;4;4;1;22,2727;11941,8866;0,1742;95;50;536,1663;4;46;44,2548;11;20;5;6;5;28;0;10;23;2;0;16;0,1333;0,1667;15
com.example.examplefeature.TaskRepository;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;0,0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.example.examplefeature.TaskService;1;1;3;1;1;12,2778;1904,4615;0,0512;33;26;155,1145;1;16;58,2102;6;8;0;2;1;17;0;3;16;0;0;11;1,0;1,0;4
com.example.examplefeature.forex.CurrencyService;0;6;8;4;1;27,5;18833,6961;0,236;111;72;684,8617;1;27;48,6635;31;22;0;1;4;18;0;1;14;0;0;30;0,0;1,0;7
com.example.examplefeature.pdf.PdfService;0;9;3;1;1;45,8182;55943,5557;0,4876;190;86;1220,9903;1;73;37,3978;46;55;0;4;1;19;0;5;18;0;0;33;0,1667;1,0;13
com.example.examplefeature.pdf.PdfService.SupplierEx;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;0,0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.example.examplefeature.ui.CurrencyView;4;2;3;2;3;23,5577;12015,4457;0,1749;86;61;510,0434;1;27;49,6314;25;19;0;1;9;157;0;2;155;0;0;27;0,0;1,0;4
com.example.examplefeature.ui.CurrencyView.Row;0;0;1;2;2;0,0;0,0;0,0;1;1;0,0;2;4;∞;0;0;0;2;2;22;N/A;3;20;0;0;3;0,0;1,0;3
com.example.examplefeature.ui.EmailListView;8;3;2;5;5;30,2703;23298,2425;0,2719;126;69;769,6741;1;50;42,4904;33;33;0;1;13;137;0;2;132;0;0;25;0,0;1,0;6
com.example.examplefeature.ui.PdfView;3;1;1;1;3;14,96;5401,2822;0,1026;65;47;361,0483;1;24;51,8367;17;16;0;1;8;156;0;2;155;0;0;19;0,0;1,0;3
com.example.examplefeature.ui.QRCodeView;4;4;1;2;3;24,5;15767,5806;0,2096;105;70;643,5747;1;38;45,6138;19;25;0;2;9;158;0;3;156;0;0;27;0,0;1,0;7
com.example.examplefeature.ui.TaskListView;10;0;3;5;5;39,6;31952,6039;0,3356;128;79;806,8839;1;36;45,6074;47;28;0;1;13;137;0;2;132;0;0;42;0,0;1,0;2
